GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B18001,B2Y001
"G0600590","1950","California","060","Orange","0590","Orange","71","590",216224,"Increase 60% to 79%"
"G0600610","1950","California","060","Placer","0610","Placer","71","610",41649,"Increase 40% to 59%"
"G0600630","1950","California","060","Plumas","0630","Plumas","71","630",13519,"Increase 0% to 19%"
"G0600650","1950","California","060","Riverside","0650","Riverside","71","650",170046,"Increase 60% to 79%"
"G0600670","1950","California","060","Sacramento","0670","Sacramento","71","670",277140,"Increase 60% to 79%"
"G0600690","1950","California","060","San Benito","0690","San Benito","71","690",14370,"Increase 20% to 39%"
"G0600710","1950","California","060","San Bernardino","0710","San Bernardino","71","710",281642,"Increase 60% to 79%"
"G0600730","1950","California","060","San Diego","0730","San Diego","71","730",556808,"Increase 80% to 99%"
"G0600750","1950","California","060","San Francisco","0750","San Francisco","71","750",775357,"Increase 20% to 39%"
"G0600770","1950","California","060","San Joaquin","0770","San Joaquin","71","770",200750,"Increase 40% to 59%"
"G0600790","1950","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",51417,"Increase 40% to 59%"
"G0600810","1950","California","060","San Mateo","0810","San Mateo","71","810",235659,"Increase 100% or more"
"G0600830","1950","California","060","Santa Barbara","0830","Santa Barbara","71","830",98220,"Increase 20% to 39%"
"G0600850","1950","California","060","Santa Clara","0850","Santa Clara","71","850",290547,"Increase 60% to 79%"
"G0600870","1950","California","060","Santa Cruz","0870","Santa Cruz","71","870",66534,"Increase 40% to 59%"
"G0600890","1950","California","060","Shasta","0890","Shasta","71","890",36413,"Increase 20% to 39%"
"G0600910","1950","California","060","Sierra","0910","Sierra","71","910",2410,"Decrease 20% to 39%"
"G0600930","1950","California","060","Siskiyou","0930","Siskiyou","71","930",30733,"Increase 0% to 19%"
"G0600950","1950","California","060","Solano","0950","Solano","71","950",104833,"Increase 100% or more"
"G0600970","1950","California","060","Sonoma","0970","Sonoma","71","970",103405,"Increase 40% to 59%"
"G0600990","1950","California","060","Stanislaus","0990","Stanislaus","71","990",127231,"Increase 60% to 79%"
"G0601010","1950","California","060","Sutter","1010","Sutter","71","1010",26239,"Increase 40% to 59%"
"G0601030","1950","California","060","Tehama","1030","Tehama","71","1030",19276,"Increase 20% to 39%"
"G0601050","1950","California","060","Trinity","1050","Trinity","71","1050",5087,"Increase 20% to 39%"
"G0601070","1950","California","060","Tulare","1070","Tulare","71","1070",149264,"Increase 20% to 39%"
"G0601090","1950","California","060","Tuolumne","1090","Tuolumne","71","1090",12584,"Increase 0% to 19%"
"G0601110","1950","California","060","Ventura","1110","Ventura","71","1110",114647,"Increase 60% to 79%"
"G0601130","1950","California","060","Yolo","1130","Yolo","71","1130",40640,"Increase 40% to 59%"
"G0601150","1950","California","060","Yuba","1150","Yuba","71","1150",24420,"Increase 40% to 59%"
"G0800010","1950","Colorado","080","Adams","0010","Adams","62","10",40234,"Increase 60% to 79%"
"G0800030","1950","Colorado","080","Alamosa","0030","Alamosa","62","30",10531,"Increase 0% to 19%"
"G0800050","1950","Colorado","080","Arapahoe","0050","Arapahoe","62","50",52125,"Increase 60% to 79%"
"G0800070","1950","Colorado","080","Archuleta","0070","Archuleta","62","70",3030,"Decrease 20% to 39%"
"G0800090","1950","Colorado","080","Baca","0090","Baca","62","90",7964,"Increase 20% to 39%"
"G0800110","1950","Colorado","080","Bent","0110","Bent","62","110",8775,"Decrease 0% to 19%"
"G0800130","1950","Colorado","080","Boulder","0130","Boulder","62","130",48296,"Increase 20% to 39%"
"G0800150","1950","Colorado","080","Chaffee","0150","Chaffee","62","150",7168,"Decrease 0% to 19%"
"G0800170","1950","Colorado","080","Cheyenne","0170","Cheyenne","62","170",3453,"Increase 0% to 19%"
"G0800190","1950","Colorado","080","Clear Creek","0190","Clear Creek","62","190",3289,"Decrease 0% to 19%"
"G0800210","1950","Colorado","080","Conejos","0210","Conejos","62","210",10171,"Decrease 0% to 19%"
"G0800230","1950","Colorado","080","Costilla","0230","Costilla","62","230",6067,"Decrease 0% to 19%"
"G0800250","1950","Colorado","080","Crowley","0250","Crowley","62","250",5222,"Decrease 0% to 19%"
"G0800270","1950","Colorado","080","Custer","0270","Custer","62","270",1573,"Decrease 0% to 19%"
"G0800290","1950","Colorado","080","Delta","0290","Delta","62","290",17365,"Increase 0% to 19%"
"G0800310","1950","Colorado","080","Denver","0310","Denver","62","310",415786,"Increase 20% to 39%"
"G0800330","1950","Colorado","080","Dolores","0330","Dolores","62","330",1966,"Increase 0% to 19%"
"G0800350","1950","Colorado","080","Douglas","0350","Douglas","62","350",3507,"Increase 0% to 19%"
"G0800370","1950","Colorado","080","Eagle","0370","Eagle","62","370",4488,"Decrease 0% to 19%"
"G0800390","1950","Colorado","080","Elbert","0390","Elbert","62","390",4477,"Decrease 0% to 19%"
"G0800410","1950","Colorado","080","El Paso","0410","El Paso","62","410",74523,"Increase 20% to 39%"
"G0800430","1950","Colorado","080","Fremont","0430","Fremont","62","430",18366,"Decrease 0% to 19%"
"G0800450","1950","Colorado","080","Garfield","0450","Garfield","62","450",11625,"Increase 0% to 19%"
"G0800470","1950","Colorado","080","Gilpin","0470","Gilpin","62","470",850,"Decrease 40% or more"
"G0800490","1950","Colorado","080","Grand","0490","Grand","62","490",3963,"Increase 0% to 19%"
"G0800510","1950","Colorado","080","Gunnison","0510","Gunnison","62","510",5716,"Decrease 0% to 19%"
"G0800530","1950","Colorado","080","Hinsdale","0530","Hinsdale","62","530",263,"Decrease 20% to 39%"
"G0800550","1950","Colorado","080","Huerfano","0550","Huerfano","62","550",10549,"Decrease 20% to 39%"
"G0800570","1950","Colorado","080","Jackson","0570","Jackson","62","570",1976,"Increase 0% to 19%"
"G0800590","1950","Colorado","080","Jefferson","0590","Jefferson","62","590",55687,"Increase 80% to 99%"
"G0800610","1950","Colorado","080","Kiowa","0610","Kiowa","62","610",3003,"Increase 0% to 19%"
"G0800630","1950","Colorado","080","Kit Carson","0630","Kit Carson","62","630",8600,"Increase 0% to 19%"
"G0800650","1950","Colorado","080","Lake","0650","Lake","62","650",6150,"Decrease 0% to 19%"
"G0800670","1950","Colorado","080","La Plata","0670","La Plata","62","670",14880,"Decrease 0% to 19%"
"G0800690","1950","Colorado","080","Larimer","0690","Larimer","62","690",43554,"Increase 20% to 39%"
"G0800710","1950","Colorado","080","Las Animas","0710","Las Animas","62","710",25902,"Decrease 20% to 39%"
"G0800730","1950","Colorado","080","Lincoln","0730","Lincoln","62","730",5909,"Increase 0% to 19%"
"G0800750","1950","Colorado","080","Logan","0750","Logan","62","750",17187,"Decrease 0% to 19%"
"G0800770","1950","Colorado","080","Mesa","0770","Mesa","62","770",38974,"Increase 0% to 19%"
"G0800790","1950","Colorado","080","Mineral","0790","Mineral","62","790",698,"Decrease 20% to 39%"
"G0800810","1950","Colorado","080","Moffat","0810","Moffat","62","810",5946,"Increase 0% to 19%"
"G0800830","1950","Colorado","080","Montezuma","0830","Montezuma","62","830",9991,"Decrease 0% to 19%"
"G0800850","1950","Colorado","080","Montrose","0850","Montrose","62","850",15220,"Decrease 0% to 19%"
"G0800870","1950","Colorado","080","Morgan","0870","Morgan","62","870",18074,"Increase 0% to 19%"
"G0800890","1950","Colorado","080","Otero","0890","Otero","62","890",25275,"Increase 0% to 19%"
"G0800910","1950","Colorado","080","Ouray","0910","Ouray","62","910",2103,"Increase 0% to 19%"
"G0800930","1950","Colorado","080","Park","0930","Park","62","930",1870,"Decrease 40% or more"
"G0800950","1950","Colorado","080","Phillips","0950","Phillips","62","950",4924,"Decrease 0% to 19%"
"G0800970","1950","Colorado","080","Pitkin","0970","Pitkin","62","970",1646,"Decrease 0% to 19%"
"G0800990","1950","Colorado","080","Prowers","0990","Prowers","62","990",14836,"Increase 20% to 39%"
"G0801010","1950","Colorado","080","Pueblo","1010","Pueblo","62","1010",90188,"Increase 20% to 39%"
"G0801030","1950","Colorado","080","Rio Blanco","1030","Rio Blanco","62","1030",4719,"Increase 60% to 79%"
"G0801050","1950","Colorado","080","Rio Grande","1050","Rio Grande","62","1050",12832,"Increase 0% to 19%"
"G0801070","1950","Colorado","080","Routt","1070","Routt","62","1070",8940,"Decrease 0% to 19%"
"G0801090","1950","Colorado","080","Saguache","1090","Saguache","62","1090",5664,"Decrease 0% to 19%"
"G0801110","1950","Colorado","080","San Juan","1110","San Juan","62","1110",1471,"Increase 0% to 19%"
