GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AYM001,AYU001
"G0800850","1900","Colorado","080","Montrose","0850","Montrose","62","850",4535,4535
"G0800870","1900","Colorado","080","Morgan","0870","Morgan","62","870",3268,3268
"G0800890","1900","Colorado","080","Otero","0890","Otero","62","890",11522,11522
"G0800910","1900","Colorado","080","Ouray","0910","Ouray","62","910",4731,4731
"G0800930","1900","Colorado","080","Park","0930","Park","62","930",2998,2998
"G0800950","1900","Colorado","080","Phillips","0950","Phillips","62","950",1583,1583
"G0800970","1900","Colorado","080","Pitkin","0970","Pitkin","62","970",7020,7020
"G0800990","1900","Colorado","080","Prowers","0990","Prowers","62","990",3766,3766
"G0801010","1900","Colorado","080","Pueblo","1010","Pueblo","62","1010",34448,34448
"G0801030","1900","Colorado","080","Rio Blanco","1030","Rio Blanco","62","1030",1690,1690
"G0801050","1900","Colorado","080","Rio Grande","1050","Rio Grande","62","1050",4080,4080
"G0801070","1900","Colorado","080","Routt","1070","Routt","62","1070",3661,3661
"G0801090","1900","Colorado","080","Saguache","1090","Saguache","62","1090",3853,3853
"G0801110","1900","Colorado","080","San Juan","1110","San Juan","62","1110",2342,2342
"G0801130","1900","Colorado","080","San Miguel","1130","San Miguel","62","1130",5379,5379
"G0801150","1900","Colorado","080","Sedgwick","1150","Sedgwick","62","1150",971,971
"G0801170","1900","Colorado","080","Summit","1170","Summit","62","1170",2744,2744
"G0801190","1900","Colorado","080","Teller","1190","Teller","62","1190",29002,29002
"G0801210","1900","Colorado","080","Washington","1210","Washington","62","1210",1241,1241
"G0801230","1900","Colorado","080","Weld","1230","Weld","62","1230",16808,16808
"G0801250","1900","Colorado","080","Yuma","1250","Yuma","62","1250",1729,1729
"G0809015","1900","Colorado","080","Southern Ute Indian Reservation","9015","Southern Ute Indian Reservation","62","1155",,
"G0900010","1900","Connecticut","090","Fairfield","0010","Fairfield","1","10",184203,184203
"G0900030","1900","Connecticut","090","Hartford","0030","Hartford","1","30",195480,195480
"G0900050","1900","Connecticut","090","Litchfield","0050","Litchfield","1","50",63672,63672
"G0900070","1900","Connecticut","090","Middlesex","0070","Middlesex","1","70",41760,41760
"G0900090","1900","Connecticut","090","New Haven","0090","New Haven","1","90",269163,269163
"G0900110","1900","Connecticut","090","New London","0110","New London","1","110",82758,82758
"G0900130","1900","Connecticut","090","Tolland","0130","Tolland","1","130",24523,24523
"G0900150","1900","Connecticut","090","Windham","0150","Windham","1","150",46861,46861
"G1000010","1900","Delaware","100","Kent","0010","Kent","11","10",32762,32762
"G1000030","1900","Delaware","100","New Castle","0030","New Castle","11","30",109697,109697
"G1000050","1900","Delaware","100","Sussex","0050","Sussex","11","50",42276,42276
"G1200010","1900","Florida","120","Alachua","0010","Alachua","43","10",32245,32245
"G1200030","1900","Florida","120","Baker","0030","Baker","43","30",4516,4516
"G1200070","1900","Florida","120","Bradford","0070","Bradford","43","70",10295,10295
"G1200090","1900","Florida","120","Brevard","0090","Brevard","43","90",5158,5158
"G1200130","1900","Florida","120","Calhoun","0130","Calhoun","43","130",5132,5132
"G1200170","1900","Florida","120","Citrus","0170","Citrus","43","170",5391,5391
"G1200190","1900","Florida","120","Clay","0190","Clay","43","190",5635,5635
"G1200230","1900","Florida","120","Columbia","0230","Columbia","43","230",17094,17094
"G1200250","1900","Florida","120","Dade","0250","Dade","43","250",4955,4955
"G1200270","1900","Florida","120","DeSoto","0270","De Soto","43","270",8047,8047
"G1200310","1900","Florida","120","Duval","0310","Duval","43","310",39733,39733
"G1200330","1900","Florida","120","Escambia","0330","Escambia","43","330",28313,28313
"G1200370","1900","Florida","120","Franklin","0370","Franklin","43","370",4890,4890
"G1200390","1900","Florida","120","Gadsden","0390","Gadsden","43","390",15294,15294
"G1200470","1900","Florida","120","Hamilton","0470","Hamilton","43","470",11881,11881
"G1200530","1900","Florida","120","Hernando","0530","Hernando","43","530",3638,3638
"G1200570","1900","Florida","120","Hillsborough","0570","Hillsborough","43","570",36013,36013
"G1200590","1900","Florida","120","Holmes","0590","Holmes","43","590",7762,7762
"G1200630","1900","Florida","120","Jackson","0630","Jackson","43","630",23377,23377
"G1200650","1900","Florida","120","Jefferson","0650","Jefferson","43","650",16195,16195
"G1200670","1900","Florida","120","Lafayette","0670","Lafayette","43","670",4987,4987
"G1200690","1900","Florida","120","Lake","0690","Lake","43","690",7467,7467
"G1200710","1900","Florida","120","Lee","0710","Lee","43","710",3071,3071
"G1200730","1900","Florida","120","Leon","0730","Leon","43","730",19887,19887
"G1200750","1900","Florida","120","Levy","0750","Levy","43","750",8603,8603
"G1200770","1900","Florida","120","Liberty","0770","Liberty","43","770",2956,2956
"G1200790","1900","Florida","120","Madison","0790","Madison","43","790",15446,15446
"G1200810","1900","Florida","120","Manatee","0810","Manatee","43","810",4663,4663
"G1200830","1900","Florida","120","Marion","0830","Marion","43","830",24403,24403
"G1200870","1900","Florida","120","Monroe","0870","Monroe","43","870",18006,18006
"G1200890","1900","Florida","120","Nassau","0890","Nassau","43","890",9654,9654
"G1200950","1900","Florida","120","Orange","0950","Orange","43","950",11374,11374
"G1200970","1900","Florida","120","Osceola","0970","Osceola","43","970",3444,3444
"G1201010","1900","Florida","120","Pasco","1010","Pasco","43","1010",6054,6054
"G1201050","1900","Florida","120","Polk","1050","Polk","43","1050",12472,12472
"G1201070","1900","Florida","120","Putnam","1070","Putnam","43","1070",11641,11641
"G1201090","1900","Florida","120","St Johns","1090","St Johns","43","1090",9165,9165
"G1201130","1900","Florida","120","Santa Rosa","1130","Santa Rosa","43","1130",10293,10293
"G1201190","1900","Florida","120","Sumter","1190","Sumter","43","1190",6187,6187
"G1201210","1900","Florida","120","Suwannee","1210","Suwannee","43","1210",14554,14554
"G1201230","1900","Florida","120","Taylor","1230","Taylor","43","1230",3999,3999
"G1201270","1900","Florida","120","Volusia","1270","Volusia","43","1270",10003,10003
"G1201290","1900","Florida","120","Wakulla","1290","Wakulla","43","1290",5149,5149
"G1201310","1900","Florida","120","Walton","1310","Walton","43","1310",9346,9346
"G1201330","1900","Florida","120","Washington","1330","Washington","43","1330",10154,10154
"G1300010","1900","Georgia","130","Appling","0010","Appling","44","10",12336,12336
"G1300070","1900","Georgia","130","Baker","0070","Baker","44","70",6704,6704
"G1300090","1900","Georgia","130","Baldwin","0090","Baldwin","44","90",17768,17768
