GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7L001,A81001
"G0801050","1920","Colorado","080","Rio Grande","1050","Rio Grande","62","1050",7855,7855
"G0801070","1920","Colorado","080","Routt","1070","Routt","62","1070",8948,8948
"G0801090","1920","Colorado","080","Saguache","1090","Saguache","62","1090",4638,4638
"G0801110","1920","Colorado","080","San Juan","1110","San Juan","62","1110",1700,1700
"G0801130","1920","Colorado","080","San Miguel","1130","San Miguel","62","1130",5281,5281
"G0801150","1920","Colorado","080","Sedgwick","1150","Sedgwick","62","1150",4207,4207
"G0801170","1920","Colorado","080","Summit","1170","Summit","62","1170",1724,1724
"G0801190","1920","Colorado","080","Teller","1190","Teller","62","1190",6696,6696
"G0801210","1920","Colorado","080","Washington","1210","Washington","62","1210",11208,11208
"G0801230","1920","Colorado","080","Weld","1230","Weld","62","1230",54059,54059
"G0801250","1920","Colorado","080","Yuma","1250","Yuma","62","1250",13897,13897
"G0900010","1920","Connecticut","090","Fairfield","0010","Fairfield","1","10",320936,320936
"G0900030","1920","Connecticut","090","Hartford","0030","Hartford","1","30",336027,336027
"G0900050","1920","Connecticut","090","Litchfield","0050","Litchfield","1","50",76262,76262
"G0900070","1920","Connecticut","090","Middlesex","0070","Middlesex","1","70",47550,47550
"G0900090","1920","Connecticut","090","New Haven","0090","New Haven","1","90",415214,415214
"G0900110","1920","Connecticut","090","New London","0110","New London","1","110",104611,104611
"G0900130","1920","Connecticut","090","Tolland","0130","Tolland","1","130",27216,27216
"G0900150","1920","Connecticut","090","Windham","0150","Windham","1","150",52815,52815
"G1000010","1920","Delaware","100","Kent","0010","Kent","11","10",31023,31023
"G1000030","1920","Delaware","100","New Castle","0030","New Castle","11","30",148239,148239
"G1000050","1920","Delaware","100","Sussex","0050","Sussex","11","50",43741,43741
"G1100010","1920","District Of Columbia","110","District Of Columbia","0010","District Of Columbia","98","10",437571,437571
"G1200010","1920","Florida","120","Alachua","0010","Alachua","43","10",31689,31689
"G1200030","1920","Florida","120","Baker","0030","Baker","43","30",5622,5622
"G1200050","1920","Florida","120","Bay","0050","Bay","43","50",11407,11407
"G1200070","1920","Florida","120","Bradford","0070","Bradford","43","70",12503,12503
"G1200090","1920","Florida","120","Brevard","0090","Brevard","43","90",8505,8505
"G1200110","1920","Florida","120","Broward","0110","Broward","43","110",5135,5135
"G1200130","1920","Florida","120","Calhoun","0130","Calhoun","43","130",8775,8775
"G1200170","1920","Florida","120","Citrus","0170","Citrus","43","170",5220,5220
"G1200190","1920","Florida","120","Clay","0190","Clay","43","190",5621,5621
"G1200230","1920","Florida","120","Columbia","0230","Columbia","43","230",14290,14290
"G1200250","1920","Florida","120","Dade","0250","Dade","43","250",42753,42753
"G1200270","1920","Florida","120","DeSoto","0270","De Soto","43","270",25434,25434
"G1200310","1920","Florida","120","Duval","0310","Duval","43","310",113540,113540
"G1200330","1920","Florida","120","Escambia","0330","Escambia","43","330",49386,49386
"G1200350","1920","Florida","120","Flagler","0350","Flagler","43","350",2442,2442
"G1200370","1920","Florida","120","Franklin","0370","Franklin","43","370",5318,5318
"G1200390","1920","Florida","120","Gadsden","0390","Gadsden","43","390",23539,23539
"G1200470","1920","Florida","120","Hamilton","0470","Hamilton","43","470",9873,9873
"G1200530","1920","Florida","120","Hernando","0530","Hernando","43","530",4548,4548
"G1200570","1920","Florida","120","Hillsborough","0570","Hillsborough","43","570",88257,88257
"G1200590","1920","Florida","120","Holmes","0590","Holmes","43","590",12850,12850
"G1200630","1920","Florida","120","Jackson","0630","Jackson","43","630",31224,31224
"G1200650","1920","Florida","120","Jefferson","0650","Jefferson","43","650",14502,14502
